LABELS
SEPARATOR TAB

DATA
Sulfitobacter_mediterraneus_7-34	Sulfitobacter_mediterraneus_7-34
Sulfitobacter_mediterraneus_7-4	Sulfitobacter_mediterraneus_7-4
Sulfitobacter_mediterraneus_7-9	Sulfitobacter_mediterraneus_7-9
GNM016801755	Sulfitobacter mediterraneus SC7-37
GNM016812995	Sulfitobacter mediterraneus SC7-34
GNM016813005	Sulfitobacter mediterraneus SC7-4
GNM016813015	Sulfitobacter mediterraneus SC7-9
GNM016813055	Sulfitobacter mediterraneus SC7-27
GNM016813075	Sulfitobacter mediterraneus SC7-33
GNM016813095	Sulfitobacter mediterraneus SC7-25
GNM016813105	Sulfitobacter mediterraneus SC7-26
GNM016813135	Sulfitobacter mediterraneus SC7-17
GNM016813145	Sulfitobacter mediterraneus SC7-10
GNM016813175	Sulfitobacter mediterraneus SC4-9
GNM016813195	Sulfitobacter mediterraneus SC4-7
GNM016813205	Sulfitobacter mediterraneus SC4-8
GNM016813235	Sulfitobacter mediterraneus SC4-6
GNM016813245	Sulfitobacter mediterraneus SC4-5
GNM016813275	Sulfitobacter mediterraneus SC4-4
GNM016813295	Sulfitobacter mediterraneus SC4-48
GNM016813315	Sulfitobacter mediterraneus SC4-47
GNM016813335	Sulfitobacter mediterraneus SC4-42
GNM016813355	Sulfitobacter mediterraneus SC4-38
GNM016813365	Sulfitobacter mediterraneus SC4-3
GNM016813395	Sulfitobacter mediterraneus SC4-37
GNM016813415	Sulfitobacter mediterraneus SC4-36
GNM016813435	Sulfitobacter mediterraneus SC4-34
GNM016813455	Sulfitobacter mediterraneus SC4-35
GNM016813475	Sulfitobacter mediterraneus SC4-2
GNM016813495	Sulfitobacter mediterraneus SC4-16
GNM016813515	Sulfitobacter mediterraneus SC4-15
GNM016813535	Sulfitobacter mediterraneus SC2-8
GNM016813555	Sulfitobacter mediterraneus SC4-12
GNM016813575	Sulfitobacter mediterraneus SC2-87
GNM016813595	Sulfitobacter mediterraneus SC2-86
GNM016813615	Sulfitobacter mediterraneus SC2-88
GNM016813635	Sulfitobacter mediterraneus SC2-85
GNM016813655	Sulfitobacter mediterraneus SC2-83
GNM016813665	Sulfitobacter mediterraneus SC2-84
GNM016813695	Sulfitobacter mediterraneus SC2-81
GNM016813715	Sulfitobacter mediterraneus SC2-82
GNM016813735	Sulfitobacter mediterraneus SC2-5
GNM016813745	Sulfitobacter mediterraneus SC2-7
GNM016813775	Sulfitobacter mediterraneus SC2-6
GNM016813795	Sulfitobacter mediterraneus SC2-4
GNM016813805	Sulfitobacter mediterraneus SC2-3
GNM016813835	Sulfitobacter mediterraneus SC2-1
GNM016813855	Sulfitobacter mediterraneus SC2-14
GNM016813875	Sulfitobacter mediterraneus SC2-13
GNM016813895	Sulfitobacter mediterraneus SC2-12
GNM016813905	Sulfitobacter mediterraneus SC5-9
GNM016813925	Sulfitobacter mediterraneus SC5-8
GNM016813935	Sulfitobacter mediterraneus SC2-11
GNM016813955	Sulfitobacter mediterraneus SC5-7
GNM016813995	Sulfitobacter mediterraneus SC5-5
GNM016814015	Sulfitobacter mediterraneus SC5-45
GNM016814035	Sulfitobacter mediterraneus SC5-46
GNM016814045	Sulfitobacter mediterraneus SC5-44
GNM016814055	Sulfitobacter mediterraneus SC5-48
GNM016814095	Sulfitobacter mediterraneus SC5-43
GNM016814115	Sulfitobacter mediterraneus SC5-3
GNM016814125	Sulfitobacter mediterraneus SC5-42
GNM016814155	Sulfitobacter mediterraneus SC5-41
GNM016814175	Sulfitobacter mediterraneus SC5-16
GNM016814195	Sulfitobacter mediterraneus SC5-14
GNM016814205	Sulfitobacter mediterraneus SC5-12
GNM016814225	Sulfitobacter mediterraneus SC5-15
GNM016814245	Sulfitobacter mediterraneus SC5-13
GNM016814275	Sulfitobacter mediterraneus SC5-11
GNM016814335	Sulfitobacter mediterraneus SC5-10
GNM021043225	Sulfitobacter mediterraneus  strain=SC7-37
Sulfitobacter_sp_1A09907	Sulfitobacter_sp_1A09907
Sulfitobacter_sp_1A09912	Sulfitobacter_sp_1A09912
Sulfitobacter_sp_1A09922	Sulfitobacter_sp_1A09922
Sulfitobacter_sp_HI0021	Sulfitobacter_sp_HI0021
Sulfitobacter_sp_HI0076	Sulfitobacter_sp_HI0076
Sulfitobacter_sp_K55	Sulfitobacter_sp_K55
Sulfitobacter_sp_1A09134	Sulfitobacter_sp_1A09134
Sulfitobacter_sp_916	Sulfitobacter_sp_916
Sulfitobacter_sp_KE12	Sulfitobacter_sp_KE12
Sulfitobacter_sp_KE26	Sulfitobacter_sp_KE26
Sulfitobacter_sp_KE27	Sulfitobacter_sp_KE27
Sulfitobacter_sp_KE32	Sulfitobacter_sp_KE32
Sulfitobacter_sp_KE33	Sulfitobacter_sp_KE33
Sulfitobacter_sp_KE34	Sulfitobacter_sp_KE34
Sulfitobacter_sp_KE35	Sulfitobacter_sp_KE35
Sulfitobacter_sp_KE37	Sulfitobacter_sp_KE37
Sulfitobacter_sp_Ks34	Sulfitobacter_sp_Ks34
Sulfitobacter_sp_Ks39	Sulfitobacter_sp_Ks39
Sulfitobacter_sp_Ks41	Sulfitobacter_sp_Ks41
Sulfitobacter_sp_Ks42	Sulfitobacter_sp_Ks42
Sulfitobacter_sp_Ks43	Sulfitobacter_sp_Ks43
Sulfitobacter_sp_Ks46	Sulfitobacter_sp_Ks46
Sulfitobacter_sp_KS8	Sulfitobacter_sp_KS8
Sulfitobacter_sp_M95	Sulfitobacter_sp_M95
Sulfitobacter_sp_MOLA879	Sulfitobacter_sp_MOLA879
Sulfitobacter_sp_S32	Sulfitobacter_sp_S32
Sulfitobacter_sp_TB366	Sulfitobacter_sp_TB366
Sulfitobacter_sulfitobacterdubius_SZCCDBCS16	Sulfitobacter_sulfitobacterdubius_SZCCDBCS16
Unknown_sp_SZCCDBTG34	SZCCDBTG34
GNM021154965	Sulfitobacter sp.    HT3
Sulfitobacter_sp_KE42	Sulfitobacter_sp_KE42
Sulfitobacter_sp_KE43	Sulfitobacter_sp_KE43
Sulfitobacter_sp_KE5	Sulfitobacter_sp_KE5
Sulfitobacter_sp_Ks13	Sulfitobacter_sp_Ks13
Sulfitobacter_sp_Ks17	Sulfitobacter_sp_Ks17
Sulfitobacter_sp_Ks18	Sulfitobacter_sp_Ks18
Sulfitobacter_sp_M05	Sulfitobacter_sp_M05
Sulfitobacter_sp_M24	Sulfitobacter_sp_M24
Sulfitobacter_sp_M28	Sulfitobacter_sp_M28
Sulfitobacter_sp_M36	Sulfitobacter_sp_M36
Sulfitobacter_sp_M48	Sulfitobacter_sp_M48
Sulfitobacter_sp_M51	Sulfitobacter_sp_M51
Sulfitobacter_sp_M53	Sulfitobacter_sp_M53
Sulfitobacter_sp_M54	Sulfitobacter_sp_M54
Sulfitobacter_sp_M56	Sulfitobacter_sp_M56
Sulfitobacter_sp_M57	Sulfitobacter_sp_M57
Sulfitobacter_sp_M60	Sulfitobacter_sp_M60
Sulfitobacter_sp_M62	Sulfitobacter_sp_M62
Sulfitobacter_sp_M63	Sulfitobacter_sp_M63
Sulfitobacter_sp_M66	Sulfitobacter_sp_M66
Sulfitobacter_sp_M71	Sulfitobacter_sp_M71
Sulfitobacter_sp_M72	Sulfitobacter_sp_M72
Sulfitobacter_sp_M74	Sulfitobacter_sp_M74
Sulfitobacter_sp_M77	Sulfitobacter_sp_M77
Sulfitobacter_sp_S51Y	Sulfitobacter_sp_S51Y
Sulfitobacter_sp_S62	Sulfitobacter_sp_S62
Sulfitobacter_sp_S66	Sulfitobacter_sp_S66
Sulfitobacter_sp_S74	Sulfitobacter_sp_S74
Sulfitobacter_geojensis_20-1	Sulfitobacter_geojensis_20-1
Sulfitobacter_geojensis_20-100	Sulfitobacter_geojensis_20-100
Sulfitobacter_geojensis_20-116	Sulfitobacter_geojensis_20-116
Sulfitobacter_geojensis_20-117	Sulfitobacter_geojensis_20-117
Sulfitobacter_geojensis_20-19	Sulfitobacter_geojensis_20-19
Sulfitobacter_geojensis_20-31	Sulfitobacter_geojensis_20-31
Sulfitobacter_geojensis_20-33	Sulfitobacter_geojensis_20-33
Sulfitobacter_geojensis_20-62	Sulfitobacter_geojensis_20-62
Sulfitobacter_geojensis_20-63	Sulfitobacter_geojensis_20-63
Sulfitobacter_geojensis_20-8	Sulfitobacter_geojensis_20-8
Sulfitobacter_geojensis_20-88	Sulfitobacter_geojensis_20-88
Sulfitobacter_geojensis_60-106	Sulfitobacter_geojensis_60-106
Sulfitobacter_geojensis_60-107	Sulfitobacter_geojensis_60-107
Sulfitobacter_geojensis_60-115	Sulfitobacter_geojensis_60-115
Sulfitobacter_geojensis_60-116	Sulfitobacter_geojensis_60-116
Sulfitobacter_geojensis_60-117	Sulfitobacter_geojensis_60-117
Sulfitobacter_geojensis_60-119	Sulfitobacter_geojensis_60-119
Sulfitobacter_geojensis_60-71	Sulfitobacter_geojensis_60-71
Sulfitobacter_geojensis_60-72	Sulfitobacter_geojensis_60-72
Sulfitobacter_geojensis_60-73	Sulfitobacter_geojensis_60-73
Sulfitobacter_geojensis_60-74	Sulfitobacter_geojensis_60-74
Sulfitobacter_geojensis_60-75	Sulfitobacter_geojensis_60-75
Sulfitobacter_geojensis_60-76	Sulfitobacter_geojensis_60-76
